Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 10, 2019",7692.28,8031.91,7586.73,8000.33,18689275118,1.42023E+11
"Jun 09, 2019",7949.67,7975.97,7583.22,7688.08,16610726547,1.36465E+11
"Jun 08, 2019",8036.77,8076.89,7837.61,7954.13,16522722810,1.41173E+11
"Jun 07, 2019",7826.9,8126.15,7788.37,8043.95,19141423231,1.42755E+11
"Jun 06, 2019",7819.63,7937.34,7571.47,7822.02,19474611077,1.38801E+11
"Jun 05, 2019",7704.34,7901.85,7668.67,7824.23,21760923463,1.38825E+11
"Jun 04, 2019",8210.99,8210.99,7564.49,7707.77,24609731549,1.36743E+11
"Jun 03, 2019",8741.75,8743.5,8204.19,8208.99,22004511436,1.45619E+11
"Jun 02, 2019",8565.47,8809.3,8561.24,8742.96,20266216022,1.55077E+11
"Jun 01, 2019",8573.84,8625.6,8481.58,8564.02,22488303544,1.5189E+11
"May 31, 2019",8320.29,8586.66,8172.55,8574.5,25365190957,1.5206E+11
"May 30, 2019",8661.76,9008.31,8221.27,8319.47,29246528551,1.47525E+11
"May 29, 2019",8718.59,8755.85,8482.73,8659.49,23473479966,1.53537E+11
"May 28, 2019",8802.76,8807.02,8634.72,8719.96,24226919267,1.5459E+11
"May 27, 2019",8674.07,8907.17,8668.7,8805.78,27949839564,1.56094E+11
"May 26, 2019",8055.21,8687.52,7924.67,8673.22,26677970092,1.53725E+11
"May 25, 2019",7991.89,8117.93,7965.98,8052.54,22256813107,1.42708E+11
"May 24, 2019",7881.7,8140.72,7824.45,7987.37,25919126991,1.41539E+11
"May 23, 2019",7677.27,7943.79,7533.2,7881.85,24457107820,1.39654E+11
"May 22, 2019",7956.29,7997.61,7615.99,7680.07,24719473175,1.36064E+11
"May 21, 2019",7977.97,8062.17,7843.34,7963.33,25127245056,1.41066E+11
"May 20, 2019",8196.92,8200.97,7678.78,7978.31,23843404340,1.41316E+11
"May 19, 2019",7267.96,8261.94,7267.96,8197.69,25902422040,1.45185E+11
"May 18, 2019",7341.66,7447.27,7251.5,7271.21,21354286562,1.28762E+11
"May 17, 2019",7886.93,7929.15,7038.12,7343.9,30066644905,1.30035E+11
"May 16, 2019",8194.5,8320.82,7729.61,7884.91,33167197581,1.396E+11
"May 15, 2019",7989.37,8216.42,7899.11,8205.17,28344112920,1.45254E+11
"May 14, 2019",7807.88,8268.71,7696.39,7994.42,32031452227,1.41509E+11
"May 13, 2019",6971.18,8047.41,6898.28,7814.92,28677672182,1.38317E+11
"May 12, 2019",7203.51,7503.87,6815.77,6972.37,27773333680,1.2339E+11
"May 11, 2019",6379.67,7333,6375.7,7204.77,28867562329,1.27488E+11
"May 10, 2019",6175.82,6434.62,6161.52,6378.85,19419875368,1.12863E+11
